instance_id,method,fraction,success,expansions,runtime_sec,path_cost
48,learned_frac_50,0.5,1,72,0.013494014739990234,70.0
48,learned_frac_100,1.0,1,72,0.014798879623413086,68.0
49,classic,1.0,1,760,0.004508495330810547,62.0
49,learned_frac_10,0.1,1,98,0.02085399627685547,62.0
49,learned_frac_25,0.25,1,70,0.016201257705688477,64.0
49,learned_frac_50,0.5,1,71,0.013065814971923828,66.0
49,learned_frac_100,1.0,1,65,0.013295412063598633,62.0
50,classic,1.0,1,840,0.0027086734771728516,62.0
50,learned_frac_10,0.1,1,105,0.01607227325439453,64.0
50,learned_frac_25,0.25,1,69,0.013367891311645508,68.0
50,learned_frac_50,0.5,1,67,0.01582646369934082,66.0
50,learned_frac_100,1.0,1,65,0.01673436164855957,64.0
