instance_id,state_x,state_y,h_star,mu,sigma,error,abs_error,rel_error,grid_size
1,27,29,6.0,100.65328216552734,2.984179347448814e-26,94.65328216552734,94.65328216552734,15.77554439833049,32
1,28,28,6.0,99.89315032958984,4.560528436685516e-27,93.89315032958984,93.89315032958984,15.648855780122343,32
1,29,27,6.0,99.39571380615234,5.851566399846747e-28,93.39571380615234,93.39571380615234,15.565949706700438,32
1,30,26,6.0,99.0555648803711,6.102399114157103e-29,93.0555648803711,93.0555648803711,15.50925822851881,32
1,31,25,6.0,98.66126251220703,2.469214640814143e-30,92.66126251220703,92.66126251220703,15.443541178110975,32
1,26,29,7.0,112.1520004272461,4.9987204580224634e-27,105.1520004272461,105.1520004272461,15.021712200790557,32
1,27,28,7.0,111.48664093017578,1.054203480420145e-27,104.48664093017578,104.48664093017578,14.926660857644988,32
1,28,27,7.0,110.81231689453125,1.4784018975135676e-28,103.81231689453125,103.81231689453125,14.830328866314625,32
1,29,26,7.0,110.47013092041016,1.6360226975074698e-29,103.47013092041016,103.47013092041016,14.781445162709284,32
1,30,25,7.0,110.0872573852539,9.908411447887864e-31,103.0872573852539,103.0872573852539,14.726748951214994,32
1,31,24,7.0,109.81639862060547,4.3067396956094467e-32,102.81639862060547,102.81639862060547,14.688054847507232,32
1,25,29,8.0,123.44628143310547,4.178704696160366e-28,115.44628143310547,115.44628143310547,14.430783375290263,32
1,26,28,8.0,123.08010864257812,2.436933417954218e-28,115.08010864257812,115.08010864257812,14.385011782195795,32
1,27,27,8.0,122.31997680664062,3.724179436427068e-29,114.31997680664062,114.31997680664062,14.289995314580665,32
1,29,25,8.0,121.50177764892578,3.307930874149422e-31,113.50177764892578,113.50177764892578,14.18772043265067,32
1,30,24,8.0,121.17547607421875,1.520146877591874e-32,113.17547607421875,113.17547607421875,14.146932740910753,32
1,31,23,8.0,120.9045639038086,6.607443467817059e-34,112.9045639038086,112.9045639038086,14.113068723842485,32
1,24,29,9.0,134.8358612060547,5.602653931992706e-29,125.83586120605469,125.83586120605469,13.981760802699322,32
1,25,30,9.0,112.22315979003906,5.246493569868776e-27,103.22315979003906,103.22315979003906,11.469238702311152,32
1,26,27,9.0,133.9134521484375,8.608679947685481e-30,124.9134521484375,124.9134521484375,13.879270918796289,32
1,27,26,9.0,133.3722381591797,1.0566296033657782e-30,124.37223815917969,124.37223815917969,13.819136037782629,32
1,28,25,9.0,132.94192504882812,1.0762984308692135e-31,123.94192504882812,123.94192504882812,13.771323475278296,32
1,29,24,9.0,132.5345458984375,5.365610792580533e-33,123.5345458984375,123.5345458984375,13.726059130264264,32
1,31,22,9.0,131.9927215576172,1.0137438419075782e-35,122.99272155761719,122.99272155761719,13.665856432417863,32
1,23,29,10.0,146.5718231201172,1.6563056066816917e-29,136.5718231201172,136.5718231201172,13.657180946293625,32
1,24,30,10.0,123.60672760009766,4.485901270801717e-28,113.60672760009766,113.60672760009766,11.360671623942604,32
1,24,28,10.0,145.974853515625,1.4263112958376348e-29,135.974853515625,135.974853515625,13.597483991814102,32
1,25,31,10.0,100.75992584228516,1.3479058833425456e-25,90.75992584228516,90.75992584228516,9.075991676629348,32
1,25,27,10.0,145.51461791992188,5.3801916350368865e-30,135.51461791992188,135.51461791992188,13.551460436846146,32
1,26,26,10.0,144.88101196289062,4.773042547320643e-31,134.88101196289062,134.88101196289062,13.488099847479079,32
1,27,25,10.0,144.44508361816406,3.4739477950008354e-32,134.44508361816406,134.44508361816406,13.444507017365705,32
1,28,24,10.0,143.94802856445312,1.793104563771397e-33,133.94802856445312,133.94802856445312,13.394801516965162,32
1,29,23,10.0,143.62271118164062,8.232036987086838e-35,133.62271118164062,133.62271118164062,13.362269781937085,32
1,30,22,10.0,143.35179138183594,3.578122602423855e-36,133.35179138183594,133.35179138183594,13.335177804665815,32
1,31,21,10.0,143.08090209960938,1.5552604268007779e-37,133.08090209960938,133.08090209960938,13.30808887915205,32
1,23,30,11.0,135.30735778808594,1.0275887746367857e-28,124.30735778808594,124.30735778808594,11.300667862492553,32
1,24,27,11.0,157.1138153076172,3.631154986112186e-30,146.1138153076172,146.1138153076172,13.283072911322208,32
1,24,31,11.0,112.1628646850586,1.2436304279975502e-26,101.1628646850586,101.1628646850586,9.196623226221398,32
1,25,26,11.0,156.41168212890625,4.51051794996549e-31,145.41168212890625,145.41168212890625,13.219242628151239,32
1,26,25,11.0,155.9757537841797,3.282800246059037e-32,144.9757537841797,144.9757537841797,13.179612782233356,32
1,27,24,11.0,155.49600219726562,1.7134482094525136e-33,144.49600219726562,144.49600219726562,13.135999005569694,32
1,28,23,11.0,155.00132751464844,5.617617474604421e-35,144.00132751464844,144.00132751464844,13.091028583965443,32
1,29,22,11.0,154.71841430664062,1.6283895919211194e-36,143.71841430664062,143.71841430664062,13.065309203757403,32
1,30,21,11.0,154.4520721435547,5.279530490280816e-38,143.4520721435547,143.4520721435547,13.041096282041675,32
1,22,30,12.0,147.00277709960938,3.7303502149490347e-29,135.00277709960938,135.00277709960938,11.250230487448242,32
1,23,31,12.0,123.87669372558594,1.1165317157954109e-27,111.87669372558594,111.87669372558594,9.323057033544076,32
1,24,26,12.0,168.01727294921875,4.15211483090017e-31,156.01727294921875,156.01727294921875,13.001438328981703,32
1,25,25,12.0,167.50643920898438,3.102288577943019e-32,155.50643920898438,155.50643920898438,12.958868854176295,32
1,26,24,12.0,167.06027221679688,2.0888320162668678e-33,155.06027221679688,155.06027221679688,12.921688274592384,32
1,27,23,12.0,166.5224151611328,7.022243022969534e-35,154.5224151611328,154.5224151611328,12.876866857022163,32
1,28,22,12.0,166.12442016601562,2.0670858735145127e-36,154.12442016601562,154.12442016601562,12.843700610192919,32
1,29,21,12.0,165.86343383789062,5.583064086906255e-38,153.86343383789062,153.86343383789062,12.82195175132824,32
