instance_id,grid_size,method,success,expansions,runtime_sec,path_cost
14,32,classic,1,746,0.003719329833984375,62.0
14,32,learned_direct,1,904,0.11717891693115234,62.0
14,32,learned_curriculum,1,617,0.10737133026123047,62.0
15,32,classic,1,740,0.0028455257415771484,62.0
15,32,learned_direct,1,907,0.1157999038696289,62.0
15,32,learned_curriculum,1,614,0.10620903968811035,62.0
16,32,classic,1,799,0.003422260284423828,62.0
16,32,learned_direct,1,932,0.11226081848144531,62.0
16,32,learned_curriculum,1,663,0.11871099472045898,62.0
17,32,classic,1,860,0.003074169158935547,62.0
17,32,learned_direct,1,934,0.11519694328308105,62.0
17,32,learned_curriculum,1,712,0.12409043312072754,62.0
18,32,classic,1,856,0.0037415027618408203,62.0
18,32,learned_direct,1,943,0.11249232292175293,62.0
18,32,learned_curriculum,1,711,0.11348462104797363,62.0
19,32,classic,1,848,0.002900838851928711,62.0
19,32,learned_direct,1,927,0.1080312728881836,62.0
19,32,learned_curriculum,1,704,0.11654901504516602,62.0
20,32,classic,1,799,0.007737636566162109,62.0
20,32,learned_direct,1,922,0.12452507019042969,62.0
20,32,learned_curriculum,1,660,0.11013650894165039,62.0
21,32,classic,1,803,0.002760648727416992,62.0
21,32,learned_direct,1,912,0.11612224578857422,62.0
21,32,learned_curriculum,1,667,0.15792489051818848,62.0
22,32,classic,1,877,0.0031003952026367188,62.0
22,32,learned_direct,1,931,0.12311577796936035,62.0
22,32,learned_curriculum,1,720,0.11614489555358887,62.0
23,32,classic,1,770,0.002622842788696289,62.0
23,32,learned_direct,1,916,0.11559748649597168,62.0
23,32,learned_curriculum,1,636,0.11441707611083984,62.0
24,32,classic,1,805,0.003023386001586914,62.0
24,32,learned_direct,1,907,0.11593055725097656,62.0
24,32,learned_curriculum,1,671,0.12081527709960938,62.0
25,32,classic,1,819,0.004904508590698242,62.0
25,32,learned_direct,1,915,0.15465116500854492,62.0
25,32,learned_curriculum,1,673,0.1134645938873291,62.0
26,32,classic,1,815,0.0033111572265625,62.0
26,32,learned_direct,1,940,0.15719079971313477,62.0
26,32,learned_curriculum,1,681,0.12346363067626953,62.0
27,32,classic,1,883,0.0036499500274658203,62.0
27,32,learned_direct,1,933,0.11419177055358887,62.0
27,32,learned_curriculum,1,737,0.13408827781677246,62.0
28,32,classic,1,825,0.004801511764526367,62.0
28,32,learned_direct,1,930,0.12468338012695312,62.0
28,32,learned_curriculum,1,679,0.12036776542663574,62.0
29,32,classic,1,773,0.0032491683959960938,62.0
29,32,learned_direct,1,914,0.1173243522644043,62.0
29,32,learned_curriculum,1,627,0.10185980796813965,62.0
30,32,classic,1,837,0.002911806106567383,62.0
30,32,learned_direct,1,921,0.12023377418518066,62.0
30,32,learned_curriculum,1,691,0.12141013145446777,62.0
31,32,classic,1,846,0.00428462028503418,62.0
31,32,learned_direct,1,923,0.11962413787841797,62.0
31,32,learned_curriculum,1,696,0.11183571815490723,62.0
32,32,classic,1,838,0.0028884410858154297,62.0
32,32,learned_direct,1,915,0.1241750717163086,62.0
32,32,learned_curriculum,1,705,0.11477899551391602,62.0
33,32,classic,1,868,0.003370046615600586,62.0
33,32,learned_direct,1,915,0.11350154876708984,62.0
33,32,learned_curriculum,1,709,0.11344480514526367,62.0
34,32,classic,1,806,0.004857778549194336,62.0
34,32,learned_direct,1,908,0.11738467216491699,62.0
34,32,learned_curriculum,1,675,0.11021065711975098,62.0
35,32,classic,1,709,0.002592802047729492,62.0
35,32,learned_direct,1,906,0.11778593063354492,62.0
35,32,learned_curriculum,1,595,0.10582232475280762,62.0
36,32,classic,1,861,0.003009319305419922,62.0
36,32,learned_direct,1,912,0.11385631561279297,62.0
36,32,learned_curriculum,1,713,0.12421107292175293,62.0
37,32,classic,1,821,0.003438711166381836,62.0
37,32,learned_direct,1,910,0.11126589775085449,62.0
37,32,learned_curriculum,1,674,0.11658596992492676,62.0
38,32,classic,1,806,0.004182577133178711,62.0
38,32,learned_direct,1,926,0.11138510704040527,62.0
38,32,learned_curriculum,1,669,0.11051416397094727,62.0
39,32,classic,1,866,0.003377676010131836,62.0
39,32,learned_direct,1,937,0.1274738311767578,62.0
39,32,learned_curriculum,1,713,0.12247300148010254,62.0
40,32,classic,1,921,0.0030808448791503906,62.0
40,32,learned_direct,1,932,0.1171562671661377,62.0
40,32,learned_curriculum,1,750,0.14310479164123535,62.0
41,32,classic,1,890,0.003357410430908203,62.0
41,32,learned_direct,1,929,0.16942906379699707,62.0
41,32,learned_curriculum,1,733,0.26419878005981445,62.0
42,32,classic,1,848,0.0035653114318847656,62.0
42,32,learned_direct,1,915,0.11802864074707031,62.0
42,32,learned_curriculum,1,700,0.12568187713623047,62.0
43,32,classic,1,787,0.0026526451110839844,62.0
43,32,learned_direct,1,920,0.11497712135314941,62.0
43,32,learned_curriculum,1,640,0.14783835411071777,62.0
44,32,classic,1,841,0.0038518905639648438,62.0
44,32,learned_direct,1,942,0.13759636878967285,62.0
44,32,learned_curriculum,1,699,0.11559724807739258,62.0
45,32,classic,1,811,0.0029764175415039062,62.0
45,32,learned_direct,1,916,0.11263394355773926,62.0
45,32,learned_curriculum,1,679,0.11857914924621582,62.0
46,32,classic,1,776,0.002882242202758789,62.0
46,32,learned_direct,1,925,0.1239471435546875,62.0
46,32,learned_curriculum,1,652,0.10638642311096191,62.0
47,32,classic,0,3,1.5735626220703125e-05,inf
47,32,learned_direct,0,3,0.00039696693420410156,inf
47,32,learned_curriculum,0,3,0.0003554821014404297,inf
48,32,classic,1,830,0.003131866455078125,62.0
48,32,learned_direct,1,914,0.11313033103942871,62.0
48,32,learned_curriculum,1,695,0.15989041328430176,62.0
49,32,classic,1,760,0.0028443336486816406,62.0
49,32,learned_direct,1,917,0.15494847297668457,62.0
49,32,learned_curriculum,1,637,0.10967636108398438,62.0
50,32,classic,1,840,0.0034737586975097656,62.0
50,32,learned_direct,1,932,0.11812877655029297,62.0
50,32,learned_curriculum,1,691,0.12052083015441895,62.0
51,48,classic,1,1800,0.009340524673461914,94.0
51,48,learned_direct,1,2058,0.2624063491821289,94.0
51,48,learned_curriculum,1,1759,0.27356839179992676,94.0
52,48,classic,1,1896,0.008553743362426758,94.0
52,48,learned_direct,1,2068,0.27298808097839355,94.0
52,48,learned_curriculum,1,1723,0.26409029960632324,94.0
53,48,classic,1,1772,0.006112575531005859,94.0
53,48,learned_direct,1,2074,0.2661597728729248,94.0
53,48,learned_curriculum,1,1747,0.2592630386352539,94.0
54,48,classic,1,1663,0.005835533142089844,94.0
54,48,learned_direct,1,2075,0.2603640556335449,94.0
54,48,learned_curriculum,1,1691,0.27155423164367676,94.0
55,48,classic,1,1878,0.00836801528930664,94.0
55,48,learned_direct,1,2075,0.26332592964172363,94.0
55,48,learned_curriculum,1,1720,0.2599451541900635,94.0
56,48,classic,1,1650,0.0054073333740234375,94.0
56,48,learned_direct,1,2071,0.28424620628356934,94.0
56,48,learned_curriculum,1,1690,0.4768388271331787,94.0
57,48,classic,1,1668,0.010315895080566406,94.0
57,48,learned_direct,1,2044,0.3036620616912842,94.0
57,48,learned_curriculum,1,1633,0.2530179023742676,94.0
58,48,classic,1,1710,0.005964756011962891,94.0
58,48,learned_direct,1,2072,0.27365589141845703,94.0
58,48,learned_curriculum,1,1634,0.25834059715270996,94.0
59,48,classic,1,1843,0.00693202018737793,94.0
59,48,learned_direct,1,2075,0.26194071769714355,94.0
59,48,learned_curriculum,1,1724,0.26505541801452637,94.0
60,48,classic,1,1776,0.006208658218383789,94.0
60,48,learned_direct,1,2081,3.294708490371704,94.0
60,48,learned_curriculum,1,1670,0.3804209232330322,94.0
61,48,classic,1,1712,0.009543657302856445,94.0
61,48,learned_direct,1,2060,0.2815227508544922,94.0
61,48,learned_curriculum,1,1728,0.3153529167175293,94.0
62,48,classic,1,1399,0.009170055389404297,94.0
62,48,learned_direct,1,2077,0.4029862880706787,94.0
62,48,learned_curriculum,1,1722,0.29287195205688477,94.0
63,48,classic,1,1801,0.008449554443359375,94.0
63,48,learned_direct,1,2063,0.3198425769805908,94.0
63,48,learned_curriculum,1,1715,0.36368656158447266,94.0
64,48,classic,1,1867,0.007143259048461914,94.0
64,48,learned_direct,1,2049,0.379230260848999,94.0
64,48,learned_curriculum,1,1720,0.35296082496643066,94.0
65,48,classic,1,1915,0.008496522903442383,94.0
65,48,learned_direct,1,2108,0.29291272163391113,94.0
65,48,learned_curriculum,1,1770,0.2907567024230957,94.0
66,48,classic,1,1784,0.010511398315429688,94.0
66,48,learned_direct,1,2074,0.3569972515106201,94.0
66,48,learned_curriculum,1,1723,0.2914621829986572,94.0
67,48,classic,1,1920,0.007421016693115234,94.0
67,48,learned_direct,1,2078,0.30309081077575684,94.0
67,48,learned_curriculum,1,1808,0.304523229598999,94.0
68,48,classic,1,1825,0.0076334476470947266,94.0
68,48,learned_direct,1,2055,0.2772819995880127,94.0
68,48,learned_curriculum,1,1691,0.2599167823791504,94.0
69,48,classic,1,1907,0.0074405670166015625,94.0
69,48,learned_direct,1,2092,0.2820699214935303,94.0
69,48,learned_curriculum,1,1779,0.2801525592803955,94.0
70,48,classic,1,1921,0.0077972412109375,94.0
70,48,learned_direct,1,2089,0.26827383041381836,94.0
70,48,learned_curriculum,1,1769,0.27718281745910645,94.0
71,48,classic,1,1664,0.005948781967163086,94.0
71,48,learned_direct,1,2093,0.28911519050598145,94.0
71,48,learned_curriculum,1,1786,0.29337406158447266,94.0
72,48,classic,1,1626,0.006299018859863281,94.0
72,48,learned_direct,1,2061,0.34887242317199707,94.0
72,48,learned_curriculum,1,1703,0.2939436435699463,94.0
