instance_id,grid_type,method,success,expansions,runtime_sec,path_cost
54,maze,residual_learned,1,207,0.03391885757446289,66.0
55,maze,classic,0,19,6.103515625e-05,inf
55,maze,residual_learned,0,19,0.002025604248046875,inf
56,maze,classic,1,332,0.0013668537139892578,64.0
56,maze,residual_learned,1,127,0.02407526969909668,64.0
57,maze,classic,0,655,0.0032968521118164062,inf
57,maze,residual_learned,0,655,0.09236526489257812,inf
58,maze,classic,0,680,0.0022614002227783203,inf
58,maze,residual_learned,0,680,0.08512473106384277,inf
59,maze,classic,0,693,0.0024547576904296875,inf
59,maze,residual_learned,0,693,0.09459900856018066,inf
60,maze,classic,1,321,0.001153707504272461,64.0
60,maze,residual_learned,1,369,0.05829954147338867,64.0
61,maze,classic,1,316,0.001172780990600586,64.0
61,maze,residual_learned,1,236,0.03894376754760742,64.0
62,maze,classic,1,291,0.001102447509765625,62.0
62,maze,residual_learned,1,217,0.02964019775390625,66.0
63,maze,classic,0,5,1.7404556274414062e-05,inf
63,maze,residual_learned,0,5,0.0005588531494140625,inf
64,maze,classic,0,700,0.0021054744720458984,inf
64,maze,residual_learned,0,700,0.08487367630004883,inf
65,maze,classic,1,181,0.0007863044738769531,62.0
65,maze,residual_learned,1,186,0.025684595108032227,62.0
66,maze,classic,0,675,0.002497434616088867,inf
66,maze,residual_learned,0,675,0.08609962463378906,inf
67,maze,classic,0,1,5.245208740234375e-06,inf
67,maze,residual_learned,0,1,0.000110626220703125,inf
68,maze,classic,1,322,0.0010867118835449219,62.0
68,maze,residual_learned,1,286,0.03914070129394531,62.0
69,maze,classic,0,2,9.298324584960938e-06,inf
69,maze,residual_learned,0,2,0.0002791881561279297,inf
70,maze,classic,1,413,0.0023806095123291016,64.0
70,maze,residual_learned,1,237,0.04319477081298828,64.0
71,maze,classic,0,1,6.4373016357421875e-06,inf
71,maze,residual_learned,0,1,0.0001201629638671875,inf
72,maze,classic,1,246,0.0009620189666748047,62.0
72,maze,residual_learned,1,149,0.024669170379638672,62.0
73,maze,classic,1,285,0.0010585784912109375,62.0
73,maze,residual_learned,1,238,0.03795623779296875,64.0
74,maze,classic,1,238,0.0007777214050292969,62.0
74,maze,residual_learned,1,232,0.045378684997558594,64.0
75,maze,classic,0,660,0.0027761459350585938,inf
75,maze,residual_learned,0,660,0.08254623413085938,inf
76,maze,classic,0,638,0.001984834671020508,inf
76,maze,residual_learned,0,638,0.0835423469543457,inf
77,maze,classic,0,30,0.00010156631469726562,inf
77,maze,residual_learned,0,30,0.004307270050048828,inf
78,maze,classic,1,336,0.0012676715850830078,62.0
78,maze,residual_learned,1,404,0.06380701065063477,62.0
79,maze,classic,1,225,0.0010654926300048828,64.0
79,maze,residual_learned,1,178,0.028305768966674805,64.0
80,maze,classic,1,240,0.0009031295776367188,62.0
80,maze,residual_learned,1,198,0.03143048286437988,64.0
81,maze,classic,0,662,0.0020744800567626953,inf
81,maze,residual_learned,0,662,0.09163904190063477,inf
82,maze,classic,1,313,0.001245737075805664,64.0
82,maze,residual_learned,1,188,0.031762123107910156,64.0
83,maze,classic,0,729,0.002313852310180664,inf
83,maze,residual_learned,0,729,0.1050562858581543,inf
84,maze,classic,0,39,0.0001919269561767578,inf
84,maze,residual_learned,0,39,0.004760026931762695,inf
85,maze,classic,0,3,1.2159347534179688e-05,inf
85,maze,residual_learned,0,3,0.00032639503479003906,inf
86,maze,classic,0,5,1.71661376953125e-05,inf
86,maze,residual_learned,0,5,0.0005698204040527344,inf
87,maze,classic,0,714,0.002284526824951172,inf
87,maze,residual_learned,0,714,0.0991370677947998,inf
88,maze,classic,1,405,0.0012929439544677734,64.0
88,maze,residual_learned,1,362,0.05469036102294922,64.0
89,maze,classic,0,706,0.0023882389068603516,inf
89,maze,residual_learned,0,706,0.09510064125061035,inf
90,maze,classic,1,466,0.0014328956604003906,72.0
90,maze,residual_learned,1,424,0.05424213409423828,72.0
91,maze,classic,1,359,0.0012383460998535156,62.0
91,maze,residual_learned,1,156,0.026257991790771484,62.0
